CountryName,2010,2011,2012,2013,2014,2015,2016
Aruba,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326,2.33333326
Afghanistan,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648
Angola,46.90783669,46.80773179,46.70762688,46.60752512,46.50742021,46.40731531,46.30721041
Albania,28.33211634,28.29708127,28.26204397,28.22700668,28.1919716,28.15693431,28.12189701
Andorra,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319
Arab World,1.7192695,1.713112687,1.706957034,1.700830065,1.694674616,1.688517408,1.682361256
United Arab Emirates,4.46775539,4.482680729,4.497606497,4.512531836,4.527457175,4.542382513,4.557307852
Argentina,10.44911919,10.34066672,10.23221497,10.1237625,10.01531075,9.906858285,9.798405818
Armenia,11.62627327,11.63329864,11.64032293,11.6473483,11.6543726,11.66139796,11.66842333
American Samoa,88.54999542,88.40000153,88.19999695,88.05000305,87.89999962,87.70000458,87.5
Antigua and Barbuda,22.27272771,22.27272771,22.27272771,22.27272771,22.27272771,22.27272771,22.27272771
Australia,16.03829582,16.07838798,16.11848014,16.1585723,16.19866446,16.23875662,16.25827806
Austria,46.74764969,46.77511454,46.80088082,46.83573548,46.86208745,46.88390014,46.90571284
Azerbaijan,12.19875188,12.5156675,12.83287783,13.14992813,13.46648537,13.78367651,14.09967334
Burundi,9.852024922,10.03115289,10.21028085,10.38940762,10.56853559,10.74766355,10.92679151
Belgium,22.49669789,22.51122902,22.52576014,22.54029127,22.55482239,22.56935351,22.58388464
Benin,40.44874069,40.00532104,39.56190138,39.11848173,38.67506208,38.23164243,37.78822277
Burkina Faso,20.64692982,20.42836329,20.20979496,19.99122843,19.7726601,19.55409357,19.33552703
Bangladesh,11.07782131,11.05784762,11.03787393,11.01789929,10.9979256,10.97795191,10.95797822
Bulgaria,34.42336035,34.58179763,34.74023491,34.89867444,35.05711172,35.21554901,35.37398629
Bahrain,0.695538048,0.704041777,0.72727273,0.740259731,0.765239929,0.771208227,0.784061684
"Bahamas, The",51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145
Bosnia and Herzegovina,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125
Belarus,42.06012814,42.15613026,42.25420041,42.35269119,42.43716789,42.53416463,42.6301065
Belize,60.99912383,60.77904406,60.5589643,60.33932336,60.11924359,59.89916917,59.6790894
Bermuda,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819,18.51851819
Bolivia,51.88682729,51.62004985,51.35327241,51.08649497,50.81971753,50.55294009,50.28616265
Brazil,59.63743129,59.51970175,59.40197221,59.28424267,59.16651312,59.04878358,58.93105404
Barbados,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323,14.65116323
Brunei Darussalam,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186
Bhutan,70.97332093,71.23383282,71.49434471,71.754863,72.0153749,72.27562418,72.48453671
Botswana,20.02893794,19.84860481,19.66827168,19.48794027,19.30760714,19.12727401,18.94694088
Central African Republic,35.7122219,35.6871816,35.66214129,35.63709785,35.61205754,35.58701724,35.56197693
Canada,38.19229318,38.18716934,38.18204549,38.17691821,38.17179436,38.16667052,38.16154667
Central Europe and the Baltics,33.64360777,33.74878234,33.86057812,33.93350468,34.03978031,34.14582404,34.25172011
Switzerland,31.2531625,31.34932732,31.44548904,31.54165385,31.63781558,31.73398039,31.8301452
Channel Islands,4.040404256,4.040404256,4.040404256,4.040404256,4.040404256,4.040404256,4.040404256
Chile,21.82959081,22.2341474,22.63870136,23.04325795,23.44781191,23.8523685,24.25692509
China,21.36831943,21.53258961,21.69685979,21.86112996,22.02539848,22.18966865,22.35394181
Cote d'Ivoire,32.71383648,32.71257739,32.71132137,32.71006228,32.70880626,32.70754717,32.70628808
Cameroon,42.13153942,41.6661378,41.20073618,40.73533456,40.26993294,39.80453132,39.3391297
"Congo, Dem. Rep.",67.98923711,67.85187523,67.71452025,67.57715837,67.43980338,67.3024415,67.16507962
"Congo, Rep.",65.62518302,65.5800867,65.53499039,65.4898998,65.44480349,65.39970717,65.35461086
Colombia,52.84841849,52.82433669,52.80026194,52.77618015,52.7521054,52.72802008,52.70393829
Comoros,20.95647433,20.74153531,20.52659834,20.31165932,20.09672235,19.88178334,19.66684432
Cabo Verde,21.11414301,21.35235808,21.59305128,21.83126634,22.06947951,22.30769269,22.54590586
Costa Rica,51.01840971,51.60986978,52.20132985,52.79279471,53.38425478,53.97571485,54.56717492
Caribbean small states,85.29885146,85.2546133,85.21037512,85.16615924,85.12192105,85.07768324,85.03344508
Cuba,27.54603533,27.93857698,28.55075989,29.67568652,30.24802829,30.76331475,31.27860121
Curacao,,,,,,,
Cayman Islands,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587
Cyprus,18.70562731,18.70238069,18.69913407,18.6969691,18.69372248,18.69047586,18.68722924
Czech Republic,34.39927499,34.42516831,34.45552247,34.48588449,34.51178451,34.54215775,34.56358456
Germany,32.73087185,32.73754877,32.74516555,32.71898647,32.72284322,32.73242345,32.69120678
Djibouti,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571
Dominica,59.54666646,59.18666585,58.84000142,58.48000081,58.1333313,57.77333577,57.41333516
Denmark,13.83690727,13.95522025,14.22100535,14.34055664,14.46010938,14.57966211,14.6992134
Dominican Republic,37.61126061,38.29848791,38.98571775,39.67294505,40.36017489,41.04740219,41.7346295
Algeria,0.805293609,0.808484543,0.811675477,0.814866463,0.818057397,0.821248331,0.824439265
East Asia & Pacific (excluding high income),29.59840531,29.6327445,29.66739942,29.70192531,29.73631997,29.77071478,29.80511193
Early-demographic dividend,22.29696231,22.22245213,22.14805747,22.07361844,21.99991113,21.9254141,21.8509066
East Asia & Pacific,26.1620019,26.19672308,26.23148699,26.26618677,26.30092992,26.33566382,26.35984558
Europe & Central Asia (excluding high income),38.85131116,38.86002537,38.8692097,38.8781037,38.88892787,38.89783943,38.90673721
