CountryName,2010,2011,2012,2013,2014,2015,2016
Aruba,23512.6026,24985.99328,24713.69805,25025.09956,25533.56978,25796.38025,25239.60041
Afghanistan,543.3030419,591.1623465,641.8720338,637.1650439,613.8563329,578.4663529,547.2281102
Angola,3587.883798,4615.468028,5100.095808,5254.882338,5408.410496,4166.979684,3506.072885
Albania,4094.362119,4437.178067,4247.614279,4413.081743,4578.66672,3952.829458,4124.108907
Andorra,39736.35406,41100.72994,38392.9439,40626.75163,42300.33413,36039.6535,37224.10892
Arab World,5946.258579,6890.105514,7504.532525,7552.72031,7498.938317,6458.870159,6213.785157
United Arab Emirates,33893.30351,39194.67662,40976.49971,42412.63028,43751.83889,38663.38381,38141.84676
Argentina,10385.96443,12848.8642,13082.66433,13080.25473,12334.79825,13789.06042,12790.24247
Armenia,3218.372707,3525.804747,3681.857456,3838.185801,3986.231624,3607.296697,3591.829276
American Samoa,10271.22452,10294.30227,11568.793,11505.39371,11507.23235,11843.33118,11696.95556
Antigua and Barbuda,13049.25705,12746.20502,13272.44133,12909.74418,13501.58092,14286.09316,15197.61746
Australia,52022.1256,62517.83375,68012.1479,68150.10704,62510.79117,56755.72171,49971.13146
Austria,46858.04327,51374.95841,48567.69529,50716.70871,51717.49594,44178.04738,45237.80509
Azerbaijan,5842.805784,7189.691229,7496.294648,7875.756953,7891.313147,5500.320497,3880.738731
Burundi,234.2356469,249.5779794,252.3589799,256.9760028,274.8579479,305.5497728,282.1931304
Belgium,44141.87814,47348.52502,44673.11588,46744.66254,47700.54036,40991.80814,42012.0999
Benin,758.4350829,827.0226108,837.8949968,915.5758164,944.931653,784.2784072,789.0849152
Burkina Faso,575.4464527,666.8401198,673.8215984,699.7794056,703.8200556,575.3144542,582.7954443
Bangladesh,781.1535936,861.7584443,883.1050005,981.8398792,1118.853663,1248.453398,1401.620628
Bulgaria,6843.26695,7813.806692,7378.02473,7646.839866,7864.760672,6993.783483,7469.455638
Bahrain,20722.13729,22514.25875,23654.37185,24744.35763,24989.38021,22688.96379,22619.11667
"Bahamas, The",28443.40766,28006.37972,29485.62093,28768.02989,29445.03053,31405.96356,31588.835
Bosnia and Herzegovina,4635.517779,5092.551943,4778.636088,5131.394506,5329.635045,4727.277381,4994.68314
Belarus,6181.399916,6519.230195,6940.159254,7978.872615,8318.51269,5949.106307,5022.626643
Belize,4270.799647,4423.490439,4505.62068,4568.542051,4705.610045,4775.915077,4818.404394
Bermuda,88207.32756,85973.15842,85458.45551,85748.06541,,,
Bolivia,1955.461557,2346.33717,2609.880819,2908.200085,3081.878834,3035.972215,3076.658949
Brazil,11286.24302,13245.6125,12370.0242,12300.32258,12112.5903,8814.000987,8712.887044
Barbados,16056.11684,16459.05801,16249.89778,16452.03696,16488.52576,16561.87352,16936.90604
Brunei Darussalam,35269.55311,47055.84112,47741.90647,44740.08502,41726.78397,31164.56203,27157.82341
Bhutan,2312.860096,2625.433256,2599.396094,2532.015642,2749.352665,2829.891245,3012.961401
Botswana,6434.815657,7617.325094,7877.79035,7224.965172,7780.638385,6799.875234,7243.852997
Central African Republic,487.9453833,551.0280576,565.8330584,380.1900917,423.8841246,377.2712538,401.9182384
Canada,47450.31847,52101.79609,52542.34666,52504.6557,50835.51118,43495.05439,42279.90082
Central Europe and the Baltics,12578.15545,13887.14779,13014.55403,13717.87307,14160.84934,12489.5282,12787.13536
Switzerland,74605.77451,88415.61081,83538.21282,85112.4696,86605.51739,82081.60921,80172.1933
Channel Islands,,,,,,,
Chile,12808.03459,14637.24024,15351.55133,15842.94081,14670.99676,13574.17183,13748.08766
China,4550.453596,5618.132491,6316.918863,7050.64592,7651.366044,8033.388043,8078.790474
Cote d'Ivoire,1211.930338,1207.001434,1243.344597,1415.469385,1559.386504,1426.457864,1481.652231
Cameroon,1285.261726,1403.255638,1354.623087,1465.222327,1540.568182,1326.969277,1363.403851
"Congo, Dem. Rep.",334.0215726,387.0824654,424.6003861,457.9637283,486.7870819,497.3169608,471.3188404
"Congo, Rep.",2809.694957,3282.393455,3032.667329,3047.064589,2992.931349,1761.32357,1814.063418
Colombia,6326.549469,7324.383286,8042.529769,8212.667829,8114.084264,6175.87603,5871.223524
Comoros,1315.214806,1446.068018,1403.428519,1504.920859,1511.816083,1242.102885,1272.193943
Cabo Verde,3378.25486,3740.389099,3447.524041,3615.979041,3588.674054,3043.013984,3130.982229
Costa Rica,8141.913127,9121.932518,9913.209959,10490.08133,10547.15186,11299.13554,11666.45591
Caribbean small states,9074.324391,9743.181869,9994.048759,10114.79342,10174.92119,9920.626521,9368.931394
Cuba,5730.354775,6139.71933,6497.321113,6837.712892,7133.342095,7694.01192,8060.795886
Curacao,,20146.38641,20587.39736,20462.71795,20258.00969,19951.3279,19555.36585
Cayman Islands,73350.78482,72328.41164,72783.32044,73515.89532,74990.43322,76280.48625,78296.09993
Cyprus,30818.47993,32233.64339,28984.94455,27942.30127,27407.15286,23217.48415,24019.13787
Czech Republic,19808.07109,21717.45794,19729.87051,19916.01939,19744.55861,17715.61685,18463.38658
Germany,41531.9342,46644.77603,43858.36306,46285.76407,47959.99327,41139.54457,42098.92045
Djibouti,,,,2312.728803,2466.018332,2675.605374,2818.376856
Dominica,6967.24523,7065.052968,6848.418234,7016.676471,7318.103783,7596.435062,8080.968623
Denmark,58041.39844,61753.64713,58507.50805,61191.1937,62548.98473,53254.856,54663.99837
Dominican Republic,5555.390949,5913.434422,6110.369521,6238.133097,6608.832257,6921.517371,7280.873164
Algeria,4480.724539,5455.741338,5592.326098,5499.581487,5493.02559,4177.867517,3946.421445
East Asia & Pacific (excluding high income),4002.608704,4855.832761,5375.694467,5887.577842,6282.852381,6490.082407,6557.076135
Early-demographic dividend,2941.54494,3249.995254,3358.590673,3371.60449,3439.907799,3292.220217,3322.728821
East Asia & Pacific,7672.90556,8836.089255,9392.73661,9433.730948,9650.034645,9532.635016,9772.786395
Europe & Central Asia (excluding high income),7793.110557,9583.724505,10093.8973,10664.29315,9888.566258,7520.248731,7163.361164
Europe & Central Asia,23587.57456,26093.44077,25049.25744,26054.3811,26279.01045,22530.23561,22355.47156
Ecuador,4633.590358,5200.55579,5682.045007,6056.330827,6377.09153,6124.491643,6060.093329
"Egypt, Arab Rep.",2644.817039,2791.954962,3232.648892,3264.378787,3378.831358,3598.970948,3525.020165
Euro area,37567.0529,40613.00019,37597.99051,39102.95286,39856.7003,34377.51406,35128.1033
Eritrea,667.7441778,811.3760286,,,,,
Spain,30502.71971,31636.44631,28324.42934,29059.54795,29461.55033,25732.01836,26505.62433
Estonia,14784.38108,17624.04414,17534.42154,19174.10073,20367.10266,17522.23019,18237.29584
Ethiopia,341.5541149,354.4795758,467.0779272,499.5315721,566.9264665,640.5418913,717.1245929
European Union,33740.64637,36506.63882,34328.82162,35683.85879,36787.23101,32319.45324,32425.13098
Fragile and conflict affected situations,1511.929264,1608.7592,1820.488043,1858.46172,1824.398659,1606.083038,1538.027434
Finland,46459.97325,51081.99767,47710.79022,49878.04324,50260.29986,42811.21299,43777.44009
Fiji,3652.527437,4371.45751,4591.555784,4840.693716,5605.570331,5390.745237,5651.318055
France,40638.334,43790.73205,40874.70351,42592.93409,43008.64738,36613.37522,36962.22229
Faroe Islands,48530.23385,52083.88914,49459.71723,54853.6256,59440.03076,52404.65933,55822.91472
