Country Name,2010,2011,2012,2013,2014,2015,2016
阿富汗,543.3030419,591.1623465,641.8720338,637.1650439,613.8563329,578.4663529,547.2281102
安哥拉,3587.883798,4615.468028,5100.095808,5254.882338,5408.410496,4166.979684,3506.072885
阿尔巴尼亚,4094.358816,4437.177794,4247.614342,4413.082887,4578.667934,3952.830781,4124.108543
安道尔共和国,39736.35406,41100.72994,38392.9439,40626.75163,42300.33413,36039.6535,37224.10892
阿拉伯联盟国家,5945.678558,6889.091806,7503.174184,7551.282834,7497.556427,6459.109379,6202.890459
阿拉伯联合酋长国,33893.30351,39194.67662,40976.49971,42412.63028,43751.83889,38663.38381,38141.84676
阿根廷,10385.96443,12848.8642,13082.66433,13080.25473,12334.79825,13789.06042,12790.24247
亚美尼亚,3218.372707,3525.804747,3681.857456,3838.185801,3986.231624,3607.296697,3591.829276
美属萨摩亚,10271.22452,10294.30227,11568.793,11505.39371,11525.15639,11843.33118,11714.89568
安提瓜和巴布达,13092.07382,12795.56907,13399.23795,13035.09364,13780.78237,14526.58808,15494.30547
澳大利亚,52022.1256,62517.83375,68012.1479,68150.10704,62510.79117,56748.42026,50019.96777
奥地利,46858.04327,51374.95841,48567.69529,50716.70871,51717.49594,44176.67174,45103.32981
阿塞拜疆,5842.805784,7189.691229,7496.294648,7875.756953,7891.313147,5500.320497,3880.738731
布隆迪,234.2356469,249.5779794,252.3589799,256.9760028,274.8579479,305.5497728,282.1496815
比利时,44380.17663,47743.78053,44826.43961,46680.38982,47355.31201,40441.05204,41449.09736
贝宁,757.6959074,825.9403409,837.9429209,915.3156212,943.6746492,783.9630778,788.5491965
布基纳法索,575.4464527,666.8401198,673.8215984,699.7794056,703.8200556,575.3144542,583.8326203
孟加拉国,781.1535936,861.7584443,883.1050005,981.8398792,1118.853663,1248.453398,1401.620628
保加利亚,6843.26695,7813.806692,7378.02473,7646.839866,7864.760672,6993.783483,7469.455638
巴林,20722.13729,22514.23795,23654.35139,24744.35763,24989.40012,22688.9444,22619.11667
巴哈马,28443.40766,28006.37972,29485.62093,28944.78822,29563.74635,31512.85655,31325.29483
波斯尼亚和黑塞哥维那,4635.517779,5092.551943,4778.636088,5131.394506,5329.635045,4727.277546,4994.68314
白俄罗斯,6181.399916,6519.230195,6940.159254,7978.872615,8318.51269,5949.106307,5022.626643
伯利兹,4331.434517,4501.602637,4626.709615,4652.509003,4790.941262,4883.179011,4904.034338
玻利维亚,1955.461557,2346.33717,2609.880819,2908.200085,3081.878834,3035.972215,3076.658949
巴西,11286.24302,13245.61553,12370.0242,12300.32258,12112.5903,8814.000987,8712.887044
巴巴多斯,16056.01653,16470.3679,16412.9362,16224.28736,16179.58396,16066.4718,15847.14272
文莱达鲁萨兰国,35269.55311,47055.84112,47741.90647,44740.08502,41726.78397,31164.56203,27157.34623
不丹,2312.860096,2625.433256,2599.396094,2532.015642,2749.352665,2829.891245,3012.961401
博茨瓦纳,6434.815657,7617.325094,7877.79035,7224.965172,7780.638385,6799.875234,7243.856017
中非共和国,487.9453833,551.0280576,565.8330584,382.3403002,426.6845621,380.4042935,406.5319611
加拿大,47450.31847,52101.79609,52542.34666,52504.6557,50835.51118,43495.05439,42279.90082
中歐和波羅的海,12567.405,13872.61541,12998.66527,13710.08062,14152.39383,12467.45018,12773.78384
瑞士,74605.72102,88415.62806,83538.23008,85112.4644,86605.56338,82081.59712,80037.50304
智利,12808.03459,14637.24024,15351.55133,15842.94009,14670.99718,13574.1715,13748.0884
中国,4550.453596,5618.132491,6316.918863,7050.64592,7651.366044,8033.388043,8078.790474
科特迪瓦,1211.930285,1207.001398,1243.344509,1415.469277,1559.386652,1426.457845,1481.652305
喀麦隆,1285.261726,1403.255638,1354.623087,1465.222327,1540.568182,1326.969277,1363.403851
刚果（金）,334.0215726,387.0824654,424.6003861,457.9637283,486.7870819,497.3169608,471.3188404
刚果（布）,2809.694957,3282.393455,3032.667329,3047.064589,2992.931349,1761.32357,1814.063418
哥伦比亚,6326.549469,7324.383286,8042.529769,8212.667829,8114.084264,6175.87603,5871.223524
科摩罗,1315.214806,1446.068018,1403.428519,1504.920859,1511.816083,1271.057042,1287.420965
佛得角,3378.25486,3738.201166,3467.472684,3615.979041,3588.674054,3043.013984,3130.963385
哥斯达黎加,8141.913599,9121.931798,9913.210708,10490.08065,10547.15185,11299.13618,11666.45661
加勒比小国,9075.706457,9743.619786,10007.37115,10090.02734,10149.19712,9916.666674,9242.035178
古巴,5730.354775,6139.71933,6497.321113,6837.712892,7133.342095,7694.01192,8060.795886
塞浦路斯,30818.47993,32233.64339,28984.94455,27942.30127,27407.15286,23217.48415,24019.13787
捷克共和国,19808.07109,21717.45794,19729.87051,19916.01939,19744.55861,17715.61685,18463.38658
德国,41785.55691,46810.32796,44065.24891,46530.91143,48142.8272,41394.65816,42443.46507
吉布提,1343.26873,1451.54298,1559.240651,1499.767022,1619.05148,1787.4775,1898.87599
多米尼克,6967.245314,7065.053067,6848.418067,7068.535745,7364.996522,7597.750446,8070.290917
丹麦,58041.39844,61753.64713,58507.50805,61191.1937,62548.98473,53254.856,54467.10452
多米尼加共和国,5568.046676,5891.159025,6107.977431,6236.104369,6499.149883,6691.71692,6957.564507
阿尔及利亚,4480.785777,5455.84231,5592.22191,5499.587764,5493.056772,4177.888966,3948.811897
东亚与太平洋地区（不包括高收入）,4002.599653,4855.832973,5375.715573,5887.596083,6282.875322,6487.756902,6554.791243
早人口紅利,2938.879732,3246.211837,3354.503243,3367.696207,3439.546743,3291.528607,3321.457299
东亚与太平洋地区,7673.741646,8836.854594,9392.895426,9433.150535,9647.929555,9526.576304,9766.122869
欧洲与中亚地区（不包括高收入）,7773.169715,9555.609269,10063.02679,10633.84328,9885.828581,7517.912478,7161.513553
欧洲与中亚地区,23572.57527,26053.05278,25010.97995,26014.02812,26249.60504,22500.03684,22328.77633
厄瓜多尔,4633.590358,5200.55579,5682.045007,6056.330827,6377.09153,6124.491643,6060.093329
阿拉伯埃及共和国,2644.817039,2791.954962,3232.648892,3264.378787,3378.831358,3598.970948,3525.020165
欧洲货币联盟,37635.97189,40638.0356,37635.10616,39142.03909,39883.2009,34412.45439,35175.70108
西班牙,30736.62785,31835.2888,28563.85904,29211.77375,29623.16445,25817.38661,26622.29914
爱沙尼亚,14638.60482,17454.84342,17421.89022,19072.23852,20247.1993,17412.44867,18228.05825
埃塞俄比亚,341.5541149,354.4795758,467.0779272,499.5315721,566.9264665,639.3043597,716.8800387
欧洲联盟,33729.24065,36456.54845,34284.28744,35635.2239,36735.32708,32265.88088,32376.28376
脆弱和受衝突影響的情況下,1510.916231,1611.6917,1812.548337,1843.283023,1820.359085,1604.72826,1505.914919
芬兰,46202.41516,50790.72415,47415.55987,49638.07713,49914.61864,42494.65662,43493.41934
斐济,3652.527437,4371.45751,4591.555784,4840.693716,5605.570356,5390.745258,5647.347365
法国,40638.334,43790.73205,40874.70351,42592.93409,43008.64738,36613.37522,36962.22229
密克罗尼西亚联邦,2881.376141,3001.470275,3120.669627,2983.597983,2959.620647,2894.345011,2993.200563
加蓬,8840.730664,10795.50058,9814.038992,9680.824339,9650.574376,7381.746749,6979.709196
英国,39079.84261,41652.55709,42018.72546,42938.42518,46967.66814,44472.1517,40539.91961
格鲁吉亚,3073.524753,3842.618221,4249.670165,4341.435122,4438.687497,3756.383768,3857.281728
加纳,1298.436952,1558.482133,1613.286837,2378.159512,1968.858263,1766.005701,1931.38947
几内亚,672.4244026,651.1353635,717.0507379,769.0039433,787.2380702,769.2560137,733.0207588
冈比亚,530.7876934,486.049535,477.7012604,696.1521248,622.054103,668.3812029,671.1052855
几内亚比绍共和国,557.6321326,702.7428804,616.4116862,634.482446,622.4817167,603.1585129,661.0076549
赤道几内亚,17272.00977,21613.54923,21712.39502,20384.92453,19368.23091,11278.92894,9244.051798
希腊,26917.75898,25916.29353,22242.68193,21874.8195,21760.9798,18167.77372,18116.45962
格林纳达,7257.756622,7291.058897,7444.504768,7789.776381,8369.886755,9096.870646,9628.347487
格陵兰,43988.33249,47186.98147,45936.76595,47535.58995,50484.92757,44536.40131,48295.56244
危地马拉,2825.519029,3187.866203,3299.665605,3452.921679,3687.836951,3923.573344,4140.590064
关岛,30700.43401,30859.40435,32494.56236,33265.38119,34394.09748,35278.92594,35550.56428
圭亚那,3033.247725,3425.436441,3788.146749,3934.865262,4031.600662,4166.134826,4542.622067
高收入国家,39169.92484,42067.232,41867.82061,42121.52473,42775.9173,40165.80357,40761.64977
洪都拉斯,1891.157395,2073.903958,2129.521698,2088.097944,2190.650715,2286.200039,2326.297027
重债穷国 (HIPC),759.4144019,825.3683617,863.6114447,937.1300373,963.6648716,920.4532125,917.3080522
克罗地亚,13937.14227,14577.19889,13250.75712,13665.91418,13609.49731,11780.13124,12366.82154
海地,665.6274195,744.2174268,769.7073834,812.68869,831.9598193,815.7282844,735.7551202
匈牙利,13092.23376,14118.12263,12888.30459,13668.22605,14197.837,12503.68207,12839.58454
只有IBRD,4520.904795,5288.379905,5566.435224,5825.141611,5957.2889,5569.060182,5547.990636
IBRD与IDA,3702.821785,4308.06761,4525.247981,4733.183711,4842.614519,4525.228811,4483.588036
IDA總,1068.2047,1189.377261,1254.491417,1347.179597,1432.009055,1373.110467,1309.391769
IDA混合,1537.548633,1733.9069,1864.973249,1981.713979,2125.490646,1973.224112,1787.140292
印度尼西亚,3122.362815,3643.043936,3694.348946,3623.911582,3491.624791,3331.695128,3562.845756
只有IDA,823.4779359,904.086198,932.9598747,1013.073632,1065.755336,1057.633648,1061.022241
印度,1357.563701,1458.103145,1443.879529,1449.605912,1573.881492,1605.605431,1729.268021
爱尔兰,48715.17686,51848.90973,48917.89756,51590.18845,55492.98268,61995.42278,63197.08237
伊朗伊斯兰共和国,6603.212269,7818.057232,7927.647542,6111.440608,5608.602512,4916.085938,5265.906635
伊拉克,4657.280426,6045.495551,6836.027313,7076.87718,6818.804621,4989.803075,4649.468115
冰岛,43024.92384,47516.87574,45910.0209,49522.23697,54242.05468,52428.59576,61757.94931
以色列,30659.12775,33701.2131,32543.45515,36344.31551,37733.59292,35855.27504,37371.62691
意大利,35849.3732,38334.68385,34814.12512,35370.27526,35396.66572,30170.5166,30830.92266
牙买加,4696.841894,5100.396955,5206.906722,4964.832794,4817.925925,4892.897447,4842.045011
约旦,3656.453675,3775.519303,3827.294451,3952.340311,4047.553142,4097.411436,4109.574819
日本,44507.67639,48167.99727,48603.47665,40454.44746,38109.41211,34524.46986,38794.33094
哈萨克斯坦,9070.488253,11634.0019,12386.7,13890.63177,12807.26069,10510.77189,7714.841844
肯尼亚,951.6879611,971.633329,1136.871406,1210.388014,1315.804535,1336.883349,1410.527571
吉尔吉斯斯坦,880.0377751,1123.883168,1177.974735,1282.437162,1279.769783,1121.082835,1120.666513
柬埔寨,785.5022829,882.2754926,950.880346,1013.420401,1093.496191,1162.90492,1269.591257
基里巴斯,1516.811869,1735.018358,1788.505421,1715.765331,1642.762597,1542.57525,1584.807446
大韩民国,22086.95292,24079.78852,24358.78218,25890.01867,27811.36638,27105.07623,27608.24743
科威特,38577.38166,48618.88229,51978.99848,49388.1094,44062.3051,29869.52939,27653.1644
拉丁美洲与加勒比海地区（不包括高收入）,8760.299195,9861.548467,9815.650853,9927.199022,10050.95922,8449.223414,8131.541009
老挝,1140.599205,1378.361365,1581.395403,1825.665113,1998.335215,2134.704224,2308.802616
黎巴嫩,7756.744069,7703.389472,7985.854941,7923.851717,7712.062848,7649.832611,7634.946544
利比里亚,513.4456986,596.8970811,657.9362563,721.9300554,721.1827948,710.3838577,714.6233922
利比亚,12064.78069,5554.179164,13025.28139,10363.78949,6466.91027,4337.919139,4038.970683
圣卢西亚,8037.472967,8227.394082,8139.892046,8343.795374,8650.818281,9160.734157,9377.886858
拉丁美洲与加勒比海地区,9058.33022,10184.85262,10177.56297,10316.48882,10405.4843,8856.928817,8561.875358
最不发达国家,804.0226443,901.5127161,940.3088576,994.3154133,1055.252825,1020.578572,997.1653259
低收入国家,638.2310085,696.4949413,733.2472295,783.1790758,822.2763324,792.2081299,737.9746148
斯里兰卡,2799.648876,3200.833829,3350.521876,3610.289363,3819.25353,3843.780672,3886.291502
中低等收入国家,1659.708394,1845.607867,1907.161615,1962.132293,2040.165511,1995.940544,2049.093225
中低收入国家,3588.572251,4182.327928,4404.946735,4608.142466,4719.203953,4418.337014,4378.227913
莱索托,1183.42153,1391.341435,1329.274971,1245.247919,1279.494446,1219.177853,1119.719758
後期人口紅利,6190.076866,7501.005312,7976.021738,8546.653305,8799.049131,8192.357057,8141.932255
立陶宛,11984.86857,14357.73523,14341.18163,15693.78673,16545.12267,14291.90642,14982.53305
卢森堡,104965.3061,115761.5077,106749.0136,113625.1329,118823.6484,100428.368,101305.5277
拉脱维亚,11326.21947,13702.68947,13822.80559,15032.28201,15716.36907,13639.69412,14133.68295
摩洛哥,2839.925168,3046.949136,2912.658275,3121.681176,3171.699192,2875.257985,2897.66344
摩尔多瓦,1958.133697,2363.593749,2446.725316,2668.683032,2674.116332,2179.233625,2272.405707
马达加斯加,412.7309341,454.9630874,443.9047493,461.7209205,452.4615431,402.0883118,400.0362751
马尔代夫,7076.662423,7291.42764,7265.613656,7928.457365,8499.365762,9033.390413,9282.723553
中东与北非地区,7172.828684,8331.948772,8895.135438,8667.951716,8540.723351,7388.593939,7264.079568
墨西哥,9271.398233,10203.42085,10241.72792,10725.18332,10922.37605,9605.952351,8739.142471
马绍尔群岛,2926.748394,3064.872371,3265.520038,3351.027433,3202.597107,3128.4998,3368.804018
中等收入国家,3916.58872,4574.342688,4823.533202,5050.445776,5176.453636,4850.346612,4817.176095
北马其顿,4542.899717,5063.786986,4698.141294,5210.67583,5468.480869,4840.273123,5129.15896
马里,709.5819646,836.5098094,778.6694625,805.2596685,847.1502669,751.1704966,779.874933
马耳他,21087.79469,22823.44311,21931.74762,23830.93706,25961.32788,24046.27535,25128.93738
缅甸,979.05163,1176.242453,1165.794329,1162.33144,1251.820765,1133.002816,1192.495338
中东与北非地区（不包括高收入）,4157.876099,4629.722562,5010.581884,4623.352411,4469.444244,3960.769906,3924.923357
黑山,6682.281158,7318.74469,6586.721279,7186.431924,7378.345289,6514.272695,7028.936577
蒙古,2643.292914,3757.558633,4351.88692,4366.075901,4158.525715,3918.579174,3660.150746
北马里亚纳群岛,14804.24673,13571.05828,13827.7697,14274.24065,15278.90787,16690.5701,22246.74308
