Country Name,2010,2011,2012,2013,2014,2015,2016
阿富汗,65.24559168,66.83572711,66.02317421,61.36674452,59.01033025,61.2526558,56.28704672
安哥拉,33.78724719,33.10419463,33.41549506,34.66392257,32.97402504,32.72987314,31.78538881
阿尔巴尼亚,21.27782812,22.77253665,20.57825918,19.93851711,18.88395497,19.51253962,18.18993375
安道尔共和国,12.8071975,13.27350555,12.40705303,11.81367331,10.83041825,11.46217847,10.25583443
阿拉伯联盟国家,53.78700138,52.65227869,53.29726985,54.05382189,52.58360285,60.40681347,58.7649047
阿拉伯联合酋长国,38.98006849,39.1934301,39.27712811,39.6081551,37.98342106,42.33499,40.52210348
阿根廷,16.85910062,17.38298213,16.13507182,15.59737515,14.46698041,14.6316259,13.75144403
亚美尼亚,37.53004093,38.61227522,37.18448464,34.9372126,33.08594982,34.88143264,32.22716773
美属萨摩亚,15.07272173,15.39064186,14.34415015,14.12722552,13.31699203,13.0193901,12.38272987
安提瓜和巴布达,22.52887611,23.1478617,21.47105044,20.73538507,19.72558362,19.69638779,18.46093032
澳大利亚,10.6188794,11.04726492,10.53708999,9.98768389,9.492978752,9.320015289,8.614508924
奥地利,15.14913995,15.57337093,14.28233205,14.08161348,13.37922794,13.54109517,12.59681605
阿塞拜疆,23.0476012,23.6298688,22.18081034,22.27878046,20.71006751,21.41412281,20.20815664
布隆迪,38.38116825,38.23619121,41.01132776,39.97107204,39.38755864,38.43088048,38.65322349
比利时,16.00931923,15.69844257,14.74189365,14.02266986,13.2336213,13.56652303,12.83308751
贝宁,32.39296916,32.58084623,31.99200044,31.44329865,29.66045567,40.47068263,38.44770366
布基纳法索,37.49132872,37.28137549,38.78415146,33.28720021,33.96909317,46.56216758,41.53724291
孟加拉国,70.76499566,70.2105489,70.79390882,65.64508289,68.3953774,66.96574924,60.12627467
保加利亚,22.75619549,24.30032702,22.64465578,20.99963709,20.74356996,20.77642742,19.28301303
巴林,65.63088097,63.73249929,70.28748254,67.79467818,62.75854371,72.60467743,69.86418236
巴哈马,21.1105137,21.77442494,20.31707569,19.90940079,18.49533328,18.88630621,17.65132069
波斯尼亚和黑塞哥维那,32.30015609,34.19186648,31.77325971,30.44623075,28.77732513,29.62283839,27.59446709
白俄罗斯,23.31940958,22.91114578,21.64637226,20.59045954,19.76605366,20.07627636,18.87823952
伯利兹,28.2730542,28.80044628,27.40912213,27.28443966,24.42114809,25.21682566,23.06568424
玻利维亚,29.5728099,27.90420439,26.39024388,26.09046897,24.81882932,22.47639992,21.3866041
巴西,15.95528506,15.91279799,15.28545576,14.60990092,13.98993477,13.59465562,12.65867601
巴巴多斯,28.21681441,29.30348967,27.03352956,26.23023054,25.18301447,24.68624082,23.45919984
文莱达鲁萨兰国,7.417004403,7.366187122,7.570822949,6.709489683,6.180830115,6.484179774,5.927600072
