Country Name,2010,2011,2012,2013,2014,2015,2016
阿富汗,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648
安哥拉,46.90783669,46.80773179,46.70762688,46.60752512,46.50742021,46.40731531,46.30721041
阿尔巴尼亚,28.33211634,28.29708127,28.26204397,28.22700668,28.1919716,28.15693431,28.12189701
安道尔共和国,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319
阿拉伯联盟国家,1.7192695,1.713112687,1.706957034,1.700830065,1.694674616,1.688517408,1.682361256
阿拉伯联合酋长国,4.46775539,4.482680729,4.497606497,4.512531836,4.527457175,4.542382513,4.557307852
阿根廷,10.44911919,10.34066672,10.23221497,10.1237625,10.01531075,9.906858285,9.798405818
亚美尼亚,11.62627327,11.63329864,11.64032293,11.6473483,11.6543726,11.66139796,11.66842333
美属萨摩亚,88.54999542,88.40000153,88.19999695,88.05000305,87.89999962,87.70000458,87.5
安提瓜和巴布达,22.27272771,22.27272771,22.27272771,22.27272771,22.27272771,22.27272771,22.27272771
澳大利亚,16.03829582,16.07838798,16.11848014,16.1585723,16.19866446,16.23875662,16.25827806
奥地利,46.74764969,46.77511454,46.80088082,46.83573548,46.86208745,46.88390014,46.90571284
阿塞拜疆,12.19875188,12.5156675,12.83287783,13.14992813,13.46648537,13.78367651,14.09967334
布隆迪,9.852024922,10.03115289,10.21028085,10.38940762,10.56853559,10.74766355,10.92679151
比利时,22.49669789,22.51122902,22.52576014,22.54029127,22.55482239,22.56935351,22.58388464
贝宁,40.44874069,40.00532104,39.56190138,39.11848173,38.67506208,38.23164243,37.78822277
布基纳法索,20.64692982,20.42836329,20.20979496,19.99122843,19.7726601,19.55409357,19.33552703
孟加拉国,11.07782131,11.05784762,11.03787393,11.01789929,10.9979256,10.97795191,10.95797822
保加利亚,34.42336035,34.58179763,34.74023491,34.89867444,35.05711172,35.21554901,35.37398629
巴林,0.695538048,0.704041777,0.72727273,0.740259731,0.765239929,0.771208227,0.784061684
巴哈马,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145
波斯尼亚和黑塞哥维那,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125
